ANO,SEMANA,TOTAL_CASOS
2022,1,1047
2022,2,917
2022,3,920
2022,4,823
2022,5,920
2022,6,949
2022,7,810
2022,8,781
2022,9,829
2022,10,835
2022,11,832
2022,12,893
2022,13,968
2022,14,914
2022,15,868
2022,16,1103
2022,17,1119
2022,18,1233
2022,19,1388
2022,20,1407
2022,21,1525
2022,22,1526
2022,23,1402
2022,24,1249
2022,25,1245
2022,26,1351
2022,27,1364
2022,28,1538
2022,29,1530
2022,30,1301
2022,31,1463
2022,32,1337
2022,33,1435
2022,34,1312
2022,35,1388
2022,36,1315
2022,37,1133
2022,38,1247
2022,39,1228
2022,40,1270
2022,41,1282
2022,42,1521
2022,43,1473
2022,44,1555
2022,45,1491
2022,46,1700
2022,47,1688
2022,48,1620
2022,49,1755
2022,50,1672
2022,51,1638
2022,52,1580
2023,1,1760
2023,2,1595
2023,3,1653
2023,4,1492
2023,5,1621
2023,6,1713
2023,7,1496
2023,8,1444
2023,9,1534
2023,10,1513
2023,11,1565
2023,12,1633
2023,13,1592
2023,14,1434
2023,15,1767
2023,16,1743
2023,17,1735
2023,18,2281
2023,19,2250
2023,20,2280
2023,21,2147
2023,22,2349
2023,23,2256
2023,24,2089
2023,25,2135
2023,26,2087
2023,27,2347
2023,28,2518
2023,29,2600
2023,30,2458
2023,31,2652
2023,32,2496
2023,33,2413
2023,34,2545
2023,35,2641
2023,36,2646
2023,37,2620
2023,38,2766
2023,39,2631
2023,40,2883
2023,41,2745
2023,42,3066
2023,43,3099
2023,44,2931
2023,45,3103
2023,46,3502
2023,47,3702
2023,48,3913
2023,49,4164
2023,50,4396
2023,51,4195
2023,52,4215
2024,1,4933
2024,2,4822
2024,3,5083
2024,4,5251
2024,5,5655
2024,6,6039
2024,7,6324
2024,8,6477
2024,9,6753
2024,10,6954
2024,11,7459
2024,12,7219
2024,13,6753
2024,14,8275
2024,15,7822
2024,16,8391
2024,17,7695
2024,18,8202
2024,19,8087
2024,20,8506
2024,21,9334
2024,22,8905
2024,23,8707
2024,24,8928
2024,25,8341
2024,26,7150
2024,27,7713
2024,28,7320
2024,29,7343
2024,30,6593
2024,31,6122
2024,32,5491
2024,33,4900
2024,34,4947
2024,35,4657
2024,36,4607
2024,37,4520
2024,38,4327
2024,39,3935
2024,40,3818
2024,41,3590
2024,42,3987
2024,43,3757
2024,44,3734
2024,45,3615
2024,46,3614
2024,47,3569
2024,48,3537
2024,49,4118
2024,50,4236
2024,51,3808
2024,52,3704
